"Year/Month","전국","수도권","지방","서울","(서울)도심권","(서울)동북권","(서울)서북권","(서울)서남권","(서울)동남권","부산","금리"
"2006년 01월","294.6","383.7","131.8","521.3","562.6","295","376.2","416.4","763.9","151.2","3.75"
"2006년 02월","248.2","333.6","127.9","471.6","540.7","300.4","350.8","398.4","760","153.1","4.00"
"2006년 03월","269.4","355.5","127.1","501.2","551.6","310.1","368.7","406.8","813.4","150.1","4.00"
"2006년 04월","251.9","324.1","125.8","451.1","534.3","307.9","364.6","380.1","758.6","146.1","4.00"
"2006년 05월","240.3","305.5","123.6","418.3","516.5","311.2","364.4","363.9","697.1","144.9","4.00"
"2006년 06월","215.2","279.2","121.5","382","479.2","301.9","345.9","345.6","652.5","142.8","4.25"
"2006년 07월","212.7","273.1","122.9","372.3","473.3","301.7","340.5","346.5","658.5","146.8","4.25"
"2006년 08월","226.6","282.5","126","389.6","479","302.6","365.3","356.6","693.5","147.7","4.5"
"2006년 09월","258.9","313.9","129.1","431.9","514.4","313.2","382.9","387.2","757.4","147.1","4.5"
"2006년 10월","306.2","363.1","133.3","494.3","578.6","330.1","396.8","434","825.3","151.5","4.5"
"2006년 11월","260.9","320.8","139.8","428.3","553.7","318","360.8","403.7","760.8","159.8","4.5"
"2006년 12월","242.8","322.5","137.7","450.8","524.2","320.5","381.4","394.6","795.7","160.1","4.5"
"2007년 01월","202.6","281.4","131.9","398.9","510.6","320","369.4","368.5","664.2","155","4.5"
"2007년 02월","200.6","286","129.5","414.7","536.3","324.3","371.2","381.6","693.4","156","4.5"
"2007년 03월","207.4","288","129.1","410.2","520.9","327.7","384.2","393.8","708.4","156.7","4.5"
"2007년 04월","209.1","292","129.5","421.8","585.4","332.7","371.5","407.8","712.5","151.7","4.5"
"2007년 05월","213.3","305.1","126.1","465","576.1","335.9","372.5","419.2","801.1","149.6","4.5"
"2007년 06월","241","326.9","133.8","486","611.1","354.5","395.7","437.5","814.3","156.7","4.5"
"2007년 07월","236.6","316.3","140","454.8","586.8","354.4","411","422.6","772.1","160.7","4.75"
"2007년 08월","227.5","309.6","132.3","445","613.7","360.4","401.1","420.8","724.5","157.8","5.00"
"2007년 09월","236.2","323","136","463","606.2","368.7","413.7","432.7","794.2","158.6","5.00"
"2007년 10월","235.2","330","135.5","470","602.3","375.4","424.8","442.2","780.5","158.1","5.00"
"2007년 11월","238.2","344.3","136","483.2","654.4","383.6","440.8","454.3","799.6","161.5","5.00"
"2007년 12월","247.7","355.3","139","492.7","635.4","392.6","441.2","458","807.7","165.3","5.00"
"2008년 01월","241.3","347.8","139.5","478.2","603.9","402.2","448.6","444.6","773.4","166.9","5.00"
"2008년 02월","248","353.4","138.5","486.6","593.4","414.3","450","455.8","770.1","167","5.00"
"2008년 03월","263.5","365","139.7","502.5","601.2","441.4","473.8","465.1","757.1","165.8","5.00"
"2008년 04월","273.7","376.8","140.5","532.5","627.3","474.4","478.4","482","771.9","170.1","5.00"
"2008년 05월","273.3","378.4","140.9","552.9","666","489.5","489.9","499.8","782.8","167.4","5.00"
"2008년 06월","261.5","375.9","143.3","557.7","636.8","498.9","504.7","495.9","774.8","169.3","5.00"
"2008년 07월","237.2","370.6","140.7","558.7","634.2","492.1","494.5","494.9","764.7","164.1","5.00"
"2008년 08월","221.1","367.3","140.3","566.5","672","483.5","479.7","492.4","785.7","165","5.25"
"2008년 09월","204.8","363.4","138.8","573.6","588.9","482.7","478.2","505.7","782.4","162.2","5.25"
"2008년 10월","187.4","353.7","135","557.9","572","469.4","462.1","487.2","772.6","157.4","5.00"
"2008년 11월","206","384.3","135.1","618.2","651.9","458.5","467.3","523.4","825.9","157.4","4.00"
"2008년 12월","222.6","407.8","136.1","627.4","610.2","441","474.5","524","792.7","160.6","3.00"
"2009년 01월","289.2","449.2","143.5","662.2","694.4","455.8","467.4","584.9","826.1","167.6","2.5"
"2009년 02월","267.5","423.9","143.7","624.2","664.8","460.2","473.7","548.2","836","167.9","2.00"
"2009년 03월","261.2","421.6","143.6","642","646.5","458.9","492.7","533.1","863.5","171.5","2.00"
"2009년 04월","302.4","436","150.5","637.4","681.4","475.8","519.8","557","847.7","177.6","2.00"
"2009년 05월","284","416.5","152.1","621.3","662.8","472.9","516.1","542.2","868","179","2.00"
"2009년 06월","311.8","458.3","153.3","655.7","697.2","482.9","519.9","554.8","929","182.1","2.00"
"2009년 07월","296.7","439.3","155.3","635.9","705.9","483.2","541","550.5","895.3","188.9","2.00"
"2009년 08월","308.6","448.7","160.4","650","732.9","497","540.2","560.7","918.3","193.5","2.00"
"2009년 09월","273.6","415.4","159.1","614.5","752.7","497.2","520.5","536.4","879.2","191.8","2.00"
"2009년 10월","235.7","391.1","157.7","588.7","699.9","485.5","528.9","510.2","846.2","191.1","2.00"
"2009년 11월","231.8","399.1","158.6","607.2","703.3","484.8","515.7","527.8","869","193.7","2.00"
"2009년 12월","250.2","433.2","159.1","658.9","773.4","483.2","505.1","549.6","934.8","195.4","2.00"
"2010년 01월","266.6","456.5","165.2","681.5","747.9","493.2","520.9","562.3","966.8","202.6","2.00"
"2010년 02월","244","410.7","161.5","619","730.9","491.7","493.1","532.3","877.5","202.8","2.00"
"2010년 03월","229.6","384","160.6","586.2","716","479.2","495.1","507","839.3","198.4","2.00"
"2010년 04월","216.8","368.3","158.3","566.7","675.3","458.7","483.3","490.2","851.9","198.6","2.00"
"2010년 05월","220.3","372.3","160.3","588.3","671.4","450.4","481","508","872","199.1","2.00"
"2010년 06월","224.6","378.7","162.4","598.4","722.5","455.2","491.1","509.8","875.8","200.9","2.00"
"2010년 07월","221.9","373.2","161","593.9","688.9","453.5","483.6","503.2","853.1","204.2","2.25"
"2010년 08월","227.6","371.4","163.9","599","666.4","443","492.2","508","882.2","206.8","2.25"
"2010년 09월","237.1","372.3","168","583.6","645.9","442.4","477.3","501","878.6","209.4","2.25"
"2010년 10월","251.4","389.4","174","602.2","679","452.6","495.7","531.7","874.7","216.4","2.25"
"2010년 11월","276.6","428.9","180.7","644.2","688.3","463.3","509.1","549.2","927.3","228.8","2.5"
"2010년 12월","282.9","433.7","183.3","647.8","681.2","470.4","517.1","546.3","939.1","235.9","2.5"
"2011년 01월","286.6","415.2","189.3","611.7","697.1","474","530.5","535.7","884.4","242.8","2.75"
"2011년 02월","271.1","394.5","185","584.2","732.9","470.5","497","515","858.1","244.7","2.75"
"2011년 03월","254.8","377.5","185.6","566.7","695.6","465.9","505.3","504.3","841.3","244.5","3.00"
"2011년 04월","249.6","373","186.2","570.9","697.1","463.3","485","515.8","865.1","249.6","3.00"
"2011년 05월","255.4","375.7","190.1","573.6","679.2","457.9","496.5","514","865.2","252.9","3.00"
"2011년 06월","258.4","378.1","191.1","576.8","661.2","453.5","469.1","507.9","879.6","254.6","3.25"
"2011년 07월","273.2","395","192.5","614.5","653.9","458.9","512.2","522.7","922.7","259.2","3.25"
"2011년 08월","272.4","379.7","193.8","571.5","665.6","452.5","511.7","501.2","856.8","264.7","3.25"
"2011년 09월","270","374.8","196","577.3","712.3","456.9","517.8","496.5","875.4","264.3","3.25"
"2011년 10월","268.4","382.7","199","592.3","647.3","460.3","508","501","894.9","264.4","3.25"
"2011년 11월","265.6","385.9","198.5","588.1","676.9","454.9","505.4","508.1","873.8","265.5","3.25"
"2011년 12월","267.4","397.6","194.1","609.5","683.2","453","516","504.6","897.2","261.4","3.25"
"2012년 01월","271.2","381.4","200.3","575.7","659.9","447.4","506.4","497.6","868.5","261.5","3.25"
"2012년 02월","263.9","372.6","200.5","570.6","635","443.6","494.2","504.5","853.5","265.2","3.25"
